D5-DD,D7-DD,D7-UU,D7-DU,subject
0.004437,0.028638,0.049589,0.016023,1
0.004612,0.025491,0.077717,0.019228,1
0.004329,0.072319,0.035982,0.01591,1
0.003493,0.029204,0.039635,0.029797,1
0.004288,0.024862,0.038995,0.01428,1
0.009156,0.024295,0.041096,0.01265,1
0.004706,0.01284,0.032968,0.018834,1
0.003493,0.010826,0.023105,0.021701,1
0.004963,0.008623,0.019087,0.01681,1
0.003695,0.008056,0.020365,0.011188,1
0.003425,0.009504,0.027489,0.012706,1
0.002899,0.009819,0.025388,0.014111,1
0.003911,0.009567,0.027397,0.013437,1
0.003452,0.009882,0.031233,0.014955,1
0.003466,0.008119,0.02484,0.010345,1
0.0041,0.012273,0.062922,0.012256,1
0.004545,0.022344,0.016621,0.011638,1
0.002427,0.014791,0.034521,0.017204,1
0.005489,0.123678,0.02621,0.016135,1
0.003425,0.009756,0.02758,0.018946,1
0.003965,0.008749,0.024932,0.01518,1
0.003156,0.039401,0.015434,0.014674,1
0.004706,0.008875,0.01653,0.014786,1
0.00329,0.085851,0.016164,0.01012,1
0.003695,0.012148,0.018721,0.013999,1
0.002967,0.008119,0.019269,0.014393,1
0.002913,0.010448,0.021553,0.017878,1
0.003493,0.010826,0.021279,0.01636,1
0.002562,0.04387,0.012603,0.029122,1
0.003331,0.013973,0.020913,0.01889,1
0.002738,0.010008,0.027123,0.334626,1
0.003048,0.010763,0.033425,0.07022,1
0.002913,0.007931,0.024384,0.014336,1
0.003236,0.058787,0.016712,0.018553,1
0.003196,0.019008,0.030137,0.019734,1
0.003142,0.013029,0.01863,0.018159,1
0.002711,0.009063,0.017443,0.014842,1
0.003466,0.019449,0.017443,0.013605,1
0.003938,0.007427,0.022283,0.014674,1
0.002657,0.014162,0.013516,0.017766,1
0.003601,0.008371,0.01726,0.029685,1
0.003021,0.0107,0.018539,0.01726,1
0.00445,0.009378,0.032785,0.016192,1
0.004572,0.009315,0.02484,0.018384,1
0.003695,0.008686,0.022648,0.018665,1
0.004019,0.012399,0.029589,0.013437,1
0.002738,0.008812,0.025388,0.035138,1
0.003439,0.011015,0.021826,0.013549,1
0.002535,0.008182,0.0221,0.014055,1
0.003695,0.009693,0.019452,0.016979,1
0.002643,0.01605,0.015982,0.059931,2
0.002144,0.008749,0.033425,0.022263,2
0.002562,0.01007,0.023744,0.02811,2
0.001861,0.008938,0.004749,0.069826,2
0.001996,0.004909,0.011781,0.015011,2
0.001375,0.006168,0.018813,0.020015,2
0.00209,0.005979,0.014886,0.035588,2
0.005219,0.004217,0.022466,0.028616,2
0.002292,0.008182,0.00968,0.032608,2
0.001605,0.006168,0.010959,0.026761,2
0.002818,0.009315,0.057352,0.031203,2
0.000553,0.003839,0.004018,0.026368,2
0.002023,0.008119,0.017808,0.029122,2
0.001456,0.006546,0.002922,0.03199,2
0.002427,0.006546,0.003927,0.042784,2
0.000877,0.005665,0.002009,0.02142,2
0.001524,0.003336,0.003014,0.027717,2
0.000836,0.004154,0.007306,0.019958,2
0.001322,0.002706,0.006941,0.018722,2
0.002508,0.002895,0.005753,0.016641,2
0.001443,0.003273,0.00484,0.008208,2
0.001632,0.005161,0.004018,0.007309,2
0.001146,0.00214,0.006119,0.010176,2
0.000998,0.003336,0.008037,0.003879,2
0.001375,0.003462,0.002922,0.010288,2
0.001038,0.002581,0.001187,0.008377,2
0.002225,0.003336,0.004018,0.011806,2
0.001322,0.001448,0.00621,0.009501,2
0.000485,0.002518,0.006027,0.011413,2
0.001834,0.005539,0.005114,0.011019,2
0.003857,0.003462,0.00484,0.012706,2
0.001295,0.003399,0.001005,0.019003,2
0.001254,0.003462,0.003105,0.008546,2
0.001052,0.002455,0.003927,0.007927,2
0.001308,0.002769,0.006484,0.009108,2
0.002131,0.003713,0.0021,0.012931,2
0.001173,0.002769,0,0.007196,2
0.001847,0.002581,0.0021,0.006522,2
0.001187,0.00321,0.005936,0.003823,2
0.00089,0.002706,0.005936,0.017878,2
0.00093,0.002832,0.002831,0.010626,2
0.001335,0.014539,0,0.011863,2
0.000917,0.006168,0.001279,0.003317,2
0.000728,0.002203,0.004932,0.001855,2
0.001308,0.004343,0.001826,0.001462,2
0.001146,0.002706,0.001735,0,2
0.002279,0.001951,0.003105,0.006241,2
0.000998,0.006042,0.007945,0.004554,2
0.002535,0.001448,0.00484,0.002417,2
0.001106,0.005287,0.002009,0.013437,2
0.002967,0.03424,0.247763,0.06724,3
0.005583,0.03468,0.085936,0.058863,3
0.005623,0.05608,0.073425,0.058976,3
0.008078,0.047709,0.064384,0.030809,3
0.00445,0.026372,0.0421,0.058413,3
0.016277,0.029079,0.043379,0.018497,3
0.00472,0.026435,0.053425,0.022713,3
0.004936,0.026309,0.040183,0.018272,3
0.012824,0.02568,0.0579,0.021027,3
0.003209,0.027694,0.034612,0.020858,3
0.005273,0.022344,0.057169,0.022882,3
0.00476,0.027379,0.053516,0.01889,3
0.006459,0.022784,0.051416,0.029516,3
0.004747,0.024169,0.047032,0.025131,3
0.00654,0.031156,0.041644,0.038567,3
0.003304,0.023603,0.048493,0.05459,3
0.003655,0.025994,0.044932,0.020745,3
0.003102,0.027002,0.03863,0.016979,3
0.015602,0.020896,0.050685,0.018103,3
0.013202,0.027064,0.046758,0.027661,3
0.004356,0.026624,0.051507,0.020745,3
0.003466,0.022784,0.051781,0.025243,3
0.006095,0.025743,0.051689,0.024231,3
0.003695,0.026561,0.046393,0.021139,3
0.005435,0.031785,0.049224,0.018946,3
0.003493,0.021652,0.085662,0.029122,3
0.002576,0.027064,0.05653,0.022151,3
0.004194,0.022596,0.054247,0.019452,3
0.003452,0.023225,0.055342,0.038792,3
0.004612,0.023351,0.048402,0.022488,3
0.019176,0.024421,0.049132,0.02738,3
0.004612,0.023729,0.046301,0.061168,3
0.003169,0.01926,0.036073,0.018159,3
0.003466,0.019763,0.035982,0.016416,3
0.003938,0.021274,0.045571,0.058695,3
0.002684,0.023225,0.043653,0.01979,3
0.003209,0.020707,0.03653,0.018722,3
0.003493,0.020645,0.038356,0.017822,3
0.003897,0.020582,0.04347,0.024906,3
0.003021,0.025428,0.040091,0.020745,3
0.004585,0.027757,0.041187,0.01771,3
0.002562,0.022847,0.05242,0.022488,3
0.003641,0.02505,0.074155,0.01636,3
0.003452,0.024736,0.044475,0.020296,3
0.004032,0.021211,0.041735,0.013718,3
0.003358,0.026435,0.04137,0.015517,3
0.002643,0.026876,0.042831,0.019902,3
